tweet_id,text,emotion
0x30b1e3,"Tomorrow is promised to no one, so cherish the people <LH> has placed in your life today! <LH>",anticipation
0x31dc09,In literature Snow symbolizes either death or new beginnings. It snowed in Chicago today. Old @taylorswift13 is dead and is reborn. <LH>,joy
0x36c550,@Rachael_Swindon We live in a godless world of #greed and #perversion and intolerance instead of <LH> and #kindness.,joy
0x27fdae,"When u forget to turn on ur alarm but a truck starts loudly backing up at the time ur alarm is supposed to go off, u know you're <LH>",joy
0x24c2e6,Who the fuck gives vegemite sandwiches and smiles. I consider that an act off agression. <LH>,disgust
0x34f654,"@IssaRae Haven't loved a show this much since #SexInTheCity Writing eerily relatable, depicts facets of every woman genius casting <LH>",fear
0x1f735c,Phone companys are an absolute nightmare to deal with <LH> 😬😬😬😬,anger
0x2765b8,We would <LH> to live with teens who are able to multi task & dangle toys for us whilst watching TV but we would need to be the only anima…,joy
0x25a6d5,when @emmanem202 spells your last name right on the first try <LH>,joy
0x295f28,My first day without my parents for a week and it went ok! Still <LH> but I'm getting through!,fear
0x285bda,I don’t understand this dumb Facebook change preventing me from editing link blurbs. <LH>,disgust
0x2cf65b,Create each piece of <LH> with your readers in mind. You want to become the go-to person for your particular niche 👌,joy
0x23a715,It’s really #simple: Focus on the people who focus on you. Love those who love you. <LH> #Life #NoNegativity <LH>,joy
0x2547c1,SO Dreamaniac #thanks for followin' the flow of my Twitter-Verse. | <LH> <LH>,joy
0x233ca4,@MichaelSkolnik @HillaryClinton #Hilarious and <LH> but mostly total #parentfail,sadness
0x25d4fe,@raghumag @rjmadonna @mitchellez A 2 year old cross bread would make better comebacks than that Rapoop. <LH>,sadness
0x3730f7,By far the most relaxed couple days I’ve been having <LH>,joy
0x243480,LUKE JAMES DA BAE 💦 <LH>,fear
0x21916a,<LH> the ending to that opener of season 2...whoaa 😱,fear
0x23dc97,I guess #GoTS7  people forgot about when Ed Sheeran did a song for #theHobbit 🤔🤔😒 he deleted his twitter <LH> he did great #imho,sadness
0x2afa9b,@realDonaldTrump 1 year and ZERO accomplishments. 😂😂😂😂#sad,sadness
0x31e85e,@Delta what a mess. Flight delayed and no help from Delta. Appreciate the support. #sad&tired #longday,sadness
0x2e96b0,"I want the Hardys split. Matt <LH> on Raw, Jeff in the main event on Smack-diddly-down.",sadness
0x2f56ba,If you are not living for the <LH> of <LH> then you are not leaving,anticipation
0x22b228,<LH> Sunday all. 😊,joy
0x32951e,@lfclee2011 @haircut1200 @yvetteshapiro @DiabetesUK She’s a superstar <LH>,trust
0x254c06,@icecube watched @thebig3 grow nice one broh.  Keep up the good work <LH>,joy
0x2f3a50,Issa Rae so wild‼️😂😂😂  <LH>,fear
0x2c1db6,lil j is growin up. I put down a deposit on my new place awl by myself 💃🏾 #blessed.,joy
0x2c5d21,Still 140 😇 <LH>,joy
0x262201,2/2 and the parts of you that are comfortable with being broken <LH> #iyanla,trust
0x299dcc,Hey Philip McAleese thanks for the follow!! Here to #help your <LH> <LH> <LH> endeavors. How’s Ur Day?,trust
0x2ab78f,i’m a slut 4 mashed potatoes <LH>,trust
0x1eed8d,@LawTop20 Get shot of them Greg. Great reading your tweets. Can't understand why people get <LH>,sadness
0x373a6b,"Closed Sell 2.3 Lots EURUSD 1.19384 for +10.4 pips, total for today +10.4 pips <LH> <LH> <LH> <LH> <LH>",joy
0x321be2,I wish @PenguinUKBooks needed a psychologist or an HR person and I could apply. ❤️ <LH>,anticipation
0x250d68,#Ben was so <LH> 😖😞😟 in the #ThriftStore 🐴🐴🐴 and #Jessa gave zero #fucks 😝😝😝 #CountingOn,sadness
0x2cc5b9,"<LH> to @hesiedean, Thank You for choosing to follow me! I hope U enjoy my New England photography",joy
0x2e5d66,"i’ve made @marcy_thomason ‘s avi twice in a row :,) <LH> #biglilgoals",joy
0x2e1ac5,10:30pm and I can't wait to go to sleep so I can lie down and listen to the rain outside ☔ <LH>,joy
0x1dd0cb,Managed to get my hands on milk and honey by Rupi Kaur cannot wait to read it on Christmas day <LH> 💖,anticipation
0x29b4b4,I am so done with this crap. <LH> #overit #abouttosnaponsomebody,anger
